ID,Label,Gender,Date of birth,Religion (specific),Religion (broad),Seniority,Appointing President,University affiliation,Role,Year started role
1,Alito,M,4/1/1950,Roman Catholic,Catholic,1/31/2006,R,"Princeton, Yale",AJ,1/31/2006
2,"Roberts, CJ",M,1/27/1955,Roman Catholic,Catholic,9/29/2005,R,"Harvard AB, Harvard JD",CJ,9/29/2005
3,Kennedy,M,7/23/1936,Roman Catholic,Catholic,2/18/1988,R,"Standard + LSE BA, LLB Harvard",AJ,2/18/1988
4,Ginsburg,F,3/15/1933,Judaism,Judaism,8/10/1993,D,"Cornell BA, Columbia LLB",AJ,8/10/1993
5,Breyer,M,8/15/1938,Judaism,Judaism,8/3/1994,D,"Stanford AB, Oxford BA, Harvard LLB",AJ,8/3/1994
6,Sotomayor,F,6/25/1954,Roman Catholic,Catholic,8/8/2009,D,"Princeton BA, JD Yale",AJ,8/8/2009
7,Kagan,F,4/28/1960,Judaism,Judaism,8/7/2010,D,"Princeton AB, Oxford MPhil, Harvard JD",AJ,8/7/2010
8,Thomas,M,6/23/1948,Roman Catholic,Catholic,10/23/1991,R,"Holy Cross College AB, Yale JD",AJ,10/23/1991
9,Scalia,M,3/11/1936,Roman Catholic,Catholic,9/26/1986,R,"Georgetown, AB, Harvard LLB",AJ,9/26/1986
10,Stevens,M,4/20/1920,Protestant,Protestant,12/19/1975,R,"Chicago, AB, Northwestern JD",AJ,12/19/1975
11,Souter,M,9/17/1939,Episcopal,Protestant,10/9/1990,R,"Harvard AB, Oxford AB, Harvard LLB",AJ,10/9/1990
12,O'Connor,F,3/26/1930,Episcopal,Protestant,9/25/1981,R,"Stanford BA, LLB",AJ,9/25/1981
13,"Rehnquist, CJ",M,10/1/1924,Lutheran,Protestant,1/7/1972,R,"Stanford bachelor's master's, Harvard master's, Stanford law degree",CJ,9/26/1986
14,Blackmun,M,11/12/1908,Methodist,Protestant,6/9/1970,R,Harvard law degree,AJ,6/9/1970
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
